Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
6,MMPA_V1_v15tb_10,/vdd!,,,,
6,MMPA_V1_v15tb_10,/INPUT_PORT/PLUS,,,,
6,MMPA_V1_v15tb_10,/INPUT_NODE,,,,
6,MMPA_V1_v15tb_10,/VDD/PLUS,,,,
6,MMPA_V1_v15tb_01,hb_comp_curve,,,,
6,MMPA_V1_v15tb_01,hb_ocp1dbm_value,6.83,,,
6,MMPA_V1_v15tb_01,hb_peakPAE_value,8.759,,,
6,MMPA_V1_v15tb_01,hb_gainAt-20dbm_value,16.4,> 18,,near
6,MMPA_V1_v15tb_01,hb_PAEAtOcp1dbm,5.746,,,
6,MMPA_V1_v15tb_01,hb_outputPowerW_curve,,,,
6,MMPA_V1_v15tb_01,hb_outputPowerDBM_curve,,,,
6,MMPA_V1_v15tb_01,hb_PAE_curve,,,,
6,MMPA_V1_v15tb_01,/VDD/PLUS,,,,
6,MMPA_V1_v15tb_01,/OUTPUT_PORT/PLUS,,,,
6,MMPA_V1_v15tb_01,/vdd!,,,,
6,MMPA_V1_v15tb_01,/INPUT_NODE,,,,
6,MMPA_V1_v15tb_01,/INPUT_PORT/PLUS,,,,
Parameters: input_port_f=6.3G,,,,,,
7,MMPA_V1_v15tb_11,hb_ocp1dbm_value,12.29,,,
7,MMPA_V1_v15tb_11,hb_peakPAE_value,25.37,,,
7,MMPA_V1_v15tb_11,hb_gainAt-20dbm_value,17.18,> 18,,near
7,MMPA_V1_v15tb_11,hb_PAEAtOcp1dbm,10.36,,,
7,MMPA_V1_v15tb_11,hb_comp_curve,,,,
7,MMPA_V1_v15tb_11,hb_outputPowerW_curve,,,,
7,MMPA_V1_v15tb_11,hb_outputPowerDBM_curve,,,,
7,MMPA_V1_v15tb_11,hb_PAE_curve,,,,
7,MMPA_V1_v15tb_10,hb_comp_curve,,,,
7,MMPA_V1_v15tb_10,hb_ocp1dbm_value,12.81,,,
7,MMPA_V1_v15tb_10,hb_peakPAE_value,22.06,,,
7,MMPA_V1_v15tb_10,hb_gainAt-20dbm_value,16.97,> 18,,near
7,MMPA_V1_v15tb_10,hb_PAEAtOcp1dbm,16.94,,,
7,MMPA_V1_v15tb_10,hb_outputPowerW_curve,,,,
