,,Parameter,Nominal,,,,,,FF_0,FF_1,FF_2,FS_0,FS_1,FS_2,SF_0,SF_1,SF_2,SS_0,SS_1,SS_2,MC_0,MC_1,MC_2
,,temperature,27,,,,,,-40,27,125,-40,27,125,-40,27,125,-40,27,125,-40,27,125
,,toplevel.scs,tt_lib,,,,,,ff_lib,ff_lib,ff_lib,fs_lib,fs_lib,fs_lib,sf_lib,sf_lib,sf_lib,ss_lib,ss_lib,ss_lib,mc_lib,mc_lib,mc_lib

Point,Test,Output,Nominal,Spec,Weight,Pass/Fail,Min,Max,FF_0,FF_1,FF_2,FS_0,FS_1,FS_2,SF_0,SF_1,SF_2,SS_0,SS_1,SS_2,MC_0,MC_1,MC_2
3,MMPA_V1_v15tb_11,hb_ocp1dbm_value,10.26,,,,7.44,12.08,10.92,9.655,7.44,11.32,9.936,7.728,11.72,10.42,8.383,12.08,10.81,8.884,11.6,10.26,8.105
3,MMPA_V1_v15tb_11,hb_peakPAE_value,22.61,,,,11.23,29.64,22.14,17.28,11.23,27.75,21.99,14.46,28.28,22.84,15.22,29.64,24.15,16.61,28.22,22.61,14.93
3,MMPA_V1_v15tb_11,hb_gainAt-20dbm_value,18.97,> 18,,fail,14.58,21.99,20.49,18.2,14.91,21.99,19.47,15.88,20.85,18.32,14.8,20.98,18.29,14.58,21.49,18.97,15.41
3,MMPA_V1_v15tb_11,hb_PAEAtOcp1dbm,6.45,,,,2.875,11.89,5.711,4.476,2.875,7.09,5.455,3.49,9.638,7.47,4.882,11.89,9.291,6.209,8.343,6.45,4.156
3,MMPA_V1_v15tb_11,hb_comp_curve,,,,,,,,,,,,,,,,,,,,,
3,MMPA_V1_v15tb_11,hb_outputPowerW_curve,,,,,,,,,,,,,,,,,,,,,
3,MMPA_V1_v15tb_11,hb_outputPowerDBM_curve,,,,,,,,,,,,,,,,,,,,,
3,MMPA_V1_v15tb_11,hb_PAE_curve,,,,,,,,,,,,,,,,,,,,,
3,MMPA_V1_v15tb_10,hb_comp_curve,,,,,,,,,,,,,,,,,,,,,
3,MMPA_V1_v15tb_10,hb_ocp1dbm_value,8.741,,,,6.46,10.57,10.57,9.095,6.835,10.02,8.628,6.46,10.05,8.722,6.747,10.21,8.91,7.005,10.11,8.741,6.665
3,MMPA_V1_v15tb_10,hb_peakPAE_value,20.5,,,,11.74,26.56,23.74,18.32,11.74,26.56,20.75,13.17,25.25,19.89,12.7,24.67,19.3,12.08,26.11,20.5,13.06
3,MMPA_V1_v15tb_10,hb_gainAt-20dbm_value,19.17,> 18,,fail,12.77,22.8,22.45,19.71,15.87,22.8,19.88,15.81,21.25,18.3,14.3,19.84,16.84,12.77,22.11,19.17,15.14
3,MMPA_V1_v15tb_10,hb_PAEAtOcp1dbm,6.665,,,,3.693,11.21,7.724,5.838,3.693,7.704,5.92,3.821,9.576,7.376,4.858,11.21,8.67,5.719,8.68,6.665,4.337
3,MMPA_V1_v15tb_10,hb_outputPowerW_curve,,,,,,,,,,,,,,,,,,,,,
3,MMPA_V1_v15tb_10,hb_outputPowerDBM_curve,,,,,,,,,,,,,,,,,,,,,
3,MMPA_V1_v15tb_10,hb_PAE_curve,,,,,,,,,,,,,,,,,,,,,
3,MMPA_V1_v15tb_10,/OUTPUT_PORT/PLUS,,,,,,,,,,,,,,,,,,,,,
3,MMPA_V1_v15tb_10,/vdd!,,,,,,,,,,,,,,,,,,,,,
3,MMPA_V1_v15tb_10,/INPUT_PORT/PLUS,,,,,,,,,,,,,,,,,,,,,
3,MMPA_V1_v15tb_10,/INPUT_NODE,,,,,,,,,,,,,,,,,,,,,
3,MMPA_V1_v15tb_10,/VDD/PLUS,,,,,,,,,,,,,,,,,,,,,
