Mode,Process,Voltage,Temperature,Metric,Value
10,Nominal,2.75,27,hb_PAEAtOcp1dbm,6.665
10,FF,2.75,-40,hb_PAEAtOcp1dbm,7.724
10,FF,2.75,27,hb_PAEAtOcp1dbm,5.838
10,FF,2.75,125,hb_PAEAtOcp1dbm,3.693
10,FS,2.75,-40,hb_PAEAtOcp1dbm,7.704
10,FS,2.75,27,hb_PAEAtOcp1dbm,5.92
10,FS,2.75,125,hb_PAEAtOcp1dbm,3.821
10,SF,2.75,-40,hb_PAEAtOcp1dbm,9.576
10,SF,2.75,27,hb_PAEAtOcp1dbm,7.376
10,SF,2.75,125,hb_PAEAtOcp1dbm,4.858
10,SS,2.75,-40,hb_PAEAtOcp1dbm,11.21
10,SS,2.75,27,hb_PAEAtOcp1dbm,8.67
10,SS,2.75,125,hb_PAEAtOcp1dbm,5.719
01,Nominal,2.75,27,hb_ocp1dbm_value,1.653
01,FF,2.75,-40,hb_ocp1dbm_value,2.837
01,FF,2.75,27,hb_ocp1dbm_value,1.181
01,FF,2.75,125,hb_ocp1dbm_value,-1.228
01,FS,2.75,-40,hb_ocp1dbm_value,3.08
01,FS,2.75,27,hb_ocp1dbm_value,1.517
01,FS,2.75,125,hb_ocp1dbm_value,-0.8027
01,SF,2.75,-40,hb_ocp1dbm_value,3.052
01,SF,2.75,27,hb_ocp1dbm_value,1.615
01,SF,2.75,125,hb_ocp1dbm_value,-0.5073
01,SS,2.75,-40,hb_ocp1dbm_value,3.543
01,SS,2.75,27,hb_ocp1dbm_value,2.133
01,SS,2.75,125,hb_ocp1dbm_value,0.1198
01,Nominal,2.75,27,hb_peakPAE_value,8.302
01,FF,2.75,-40,hb_peakPAE_value,11.97
01,FF,2.75,27,hb_peakPAE_value,8.591
01,FF,2.75,125,hb_peakPAE_value,4.858
01,FS,2.75,-40,hb_peakPAE_value,11.98
01,FS,2.75,27,hb_peakPAE_value,8.773
01,FS,2.75,125,hb_peakPAE_value,5.02
01,SF,2.75,-40,hb_peakPAE_value,10.4
01,SF,2.75,27,hb_peakPAE_value,7.663
01,SF,2.75,125,hb_peakPAE_value,4.463
01,SS,2.75,-40,hb_peakPAE_value,9.721
01,SS,2.75,27,hb_peakPAE_value,7.107
01,SS,2.75,125,hb_peakPAE_value,4.101
01,Nominal,2.75,27,hb_gainAt-20dbm_value,18.07
01,FF,2.75,-40,hb_gainAt-20dbm_value,22.21
01,FF,2.75,27,hb_gainAt-20dbm_value,19.46
01,FF,2.75,125,hb_gainAt-20dbm_value,15.48
01,FS,2.75,-40,hb_gainAt-20dbm_value,21.4
01,FS,2.75,27,hb_gainAt-20dbm_value,18.62
01,FS,2.75,125,hb_gainAt-20dbm_value,14.63
01,SF,2.75,-40,hb_gainAt-20dbm_value,20.17
01,SF,2.75,27,hb_gainAt-20dbm_value,17.34
01,SF,2.75,125,hb_gainAt-20dbm_value,13.42
01,SS,2.75,-40,hb_gainAt-20dbm_value,18.54
01,SS,2.75,27,hb_gainAt-20dbm_value,15.71
01,SS,2.75,125,hb_gainAt-20dbm_value,11.79
01,Nominal,2.75,27,hb_PAEAtOcp1dbm,1.729
01,FF,2.75,-40,hb_PAEAtOcp1dbm,1.75
01,FF,2.75,27,hb_PAEAtOcp1dbm,1.274
01,FF,2.75,125,hb_PAEAtOcp1dbm,0.782
01,FS,2.75,-40,hb_PAEAtOcp1dbm,2.077
01,FS,2.75,27,hb_PAEAtOcp1dbm,1.542
01,FS,2.75,125,hb_PAEAtOcp1dbm,0.9621
01,SF,2.75,-40,hb_PAEAtOcp1dbm,2.522
01,SF,2.75,27,hb_PAEAtOcp1dbm,1.902
01,SF,2.75,125,hb_PAEAtOcp1dbm,1.215
01,SS,2.75,-40,hb_PAEAtOcp1dbm,3.152
01,SS,2.75,27,hb_PAEAtOcp1dbm,2.386
01,SS,2.75,125,hb_PAEAtOcp1dbm,1.534
delta,FF,2.25,-40,delta_gain,2.6700000000000017
delta,FS,2.25,-40,delta_gain,1.1099999999999994
delta,SF,2.25,-40,delta_gain,5.260000000000002
delta,SS,2.25,-40,delta_gain,7.210000000000001
delta,FF,2.5,-40,delta_gain,2.4800000000000004
delta,FS,2.5,-40,delta_gain,1.0300000000000011
delta,SF,2.5,-40,delta_gain,0.7399999999999984
delta,SS,2.5,-40,delta_gain,2.210000000000001
