Point,"hb_ocp1dbm_value","hb_peakPAE_value","hb_gainAt-20dbm_value","hb_PinAtOcp1dbm_value","hb_PAEAtOcp1dbm","hb_comp_curve","hb_outputPowerW_curve","hb_outputPowerDBM_curve","hb_PAE_curve"
85,11.2178826215052,23.6914296891119,17.1026828090925,-4.90814907031499,9.71749082984881,wave,wave,wave,wave
86,11.7017997351961,23.6185415590111,18.1993455926013,-5.50048648691565,9.03259486657079,wave,wave,wave,wave
87,11.7140601545852,23.5761524863612,18.6311160546607,-5.91285743848861,8.59019028167444,wave,wave,wave,wave
88,12.1213505422913,24.7576208361491,19.0305996226654,-5.90169123708179,9.21110959442127,wave,wave,wave,wave
89,11.8599131278982,24.9694307203584,18.284512355206,-5.43844762655796,9.98661884842104,wave,wave,wave,wave
90,11.9627669980534,24.9615639651287,18.0892139497483,-5.1322434053388,10.6632255785524,wave,wave,wave,wave
91,11.5891533043956,24.1441049471915,18.1121372901997,-5.53262229543757,9.62836284748729,wave,wave,wave,wave
92,12.0109224608989,24.9296726478337,18.6017909658133,-5.593031652577,9.61626268151422,wave,wave,wave,wave
93,11.7771394111091,23.6239150197017,18.7070084438221,-5.93424742506707,8.76836580649075,wave,wave,wave,wave
94,11.7675415808078,24.2751449775992,18.1404648854364,-5.37357895880877,9.74977083763263,wave,wave,wave,wave
95,11.5569248343922,22.514894685953,18.8359690450913,-6.28924319019288,7.96795845837057,wave,wave,wave,wave
96,11.8721536980635,24.6399478624747,18.6471932551801,-5.77799772610656,9.86845936169489,wave,wave,wave,wave
97,11.6450479860294,22.122361138107,18.6826644090354,-6.04888195168993,7.91840108625707,wave,wave,wave,wave
98,12.0214515784186,25.2929955162764,18.7945517624497,-5.7760904366926,10.0425038051386,wave,wave,wave,wave
99,11.7151943664148,23.9545860301503,17.7167215395918,-5.00317345423133,10.053422857522,wave,wave,wave,wave
100,11.9074511092998,24.3115862707537,18.6813488467752,-5.76735010508957,9.53613884746059,wave,wave,wave,wave
101,11.6482098616933,24.0367973612035,18.1727167657647,-5.53333615127832,9.27350512085017,wave,wave,wave,wave
102,11.9871375294469,24.5902545576383,19.1461675488543,-6.15276069095061,8.91937954762752,wave,wave,wave,wave
103,11.7154428386226,24.5872167034539,17.8592066422415,-5.15692704626567,9.76774264692526,wave,wave,wave,wave
104,11.7013471593198,23.9171567019703,18.3783677479202,-5.67947108087438,9.28758967188415,wave,wave,wave,wave
105,11.8224685651047,22.9835117618544,19.306143979193,-6.47974186448633,7.76290250069639,wave,wave,wave,wave
106,11.9171138274003,24.3112866300381,19.0502216090257,-6.1424052758196,8.94169924562512,wave,wave,wave,wave
107,12.4719862562635,25.9598490883274,18.5226262295728,-5.0420308515026,12.1324869952024,wave,wave,wave,wave
108,11.5327416168507,24.1808185059333,17.7227664873992,-5.20619479945591,9.63850064284419,wave,wave,wave,wave
109,11.7127386364778,23.2970486278744,18.2383955677616,-5.52314644560027,8.69278223455388,wave,wave,wave,wave
110,11.7728730829065,24.7525006428515,18.0673907330438,-5.30503445051143,10.3875142091389,wave,wave,wave,wave
111,12.1306748907012,25.0581361818844,18.970564329226,-5.83766286622187,9.61455726878993,wave,wave,wave,wave
112,12.2181318802119,25.437280618335,18.6335176355605,-5.41198052736488,10.2975248586323,wave,wave,wave,wave
113,11.7100282946075,23.9058463056726,18.3756752860533,-5.66854408990394,9.11374335104613,wave,wave,wave,wave
114,11.8956205872497,24.2189335349405,18.9034305317542,-6.00608086102626,9.00481022512469,wave,wave,wave,wave
115,11.6650503124394,24.7639515699604,17.7004705115097,-5.05396588498564,10.0401086939608,wave,wave,wave,wave
116,11.9998384446559,25.0177247716856,18.9383292737437,-5.93568768993268,9.81132333475861,wave,wave,wave,wave
117,11.7373092016438,23.0336668251995,18.796623818696,-6.06168395029387,8.27308875782344,wave,wave,wave,wave
118,11.8281353803991,24.8168878578635,18.2510524658128,-5.43371606706913,9.89677491386052,wave,wave,wave,wave
119,11.5031393401276,23.6695760867633,17.575274646637,-5.08164620105807,9.50228718051726,wave,wave,wave,wave
120,11.7725988284734,24.8770782667281,17.8615841184418,-5.10423076035059,10.4998046275596,wave,wave,wave,wave
121,12.0279205745515,24.7359239133995,18.972789505549,-5.94254943373371,9.18393630065429,wave,wave,wave,wave
122,11.4552358009708,22.5728324666143,18.7603295639504,-6.30995795837748,7.97893309438091,wave,wave,wave,wave
123,11.9939415502386,24.5839913773676,19.082437909223,-6.08763079684426,9.14865893103016,wave,wave,wave,wave
124,11.8127051696747,24.521470697484,18.2235459838011,-5.41585006741802,9.87183300908482,wave,wave,wave,wave
125,11.6376719080456,21.3746223390543,18.4310966493697,-5.80668741371324,7.66694461241357,wave,wave,wave,wave
126,11.8210175734587,23.9745738550506,18.8783938346113,-6.06419681334143,8.90534896385583,wave,wave,wave,wave
127,12.0292604370531,24.9169478806348,17.8808992100191,-4.85255796203444,11.3155763740045,wave,wave,wave,wave
128,11.821056201114,23.9395421561229,18.592373853286,-5.77613882703455,8.92196990360366,wave,wave,wave,wave
129,11.8390787134219,24.0582204280653,18.4379792785929,-5.59008860420679,9.31275414641257,wave,wave,wave,wave
130,11.5307717043877,24.0871993760213,17.4262053890856,-4.91205052734831,9.89549005103799,wave,wave,wave,wave
131,11.8364450284669,24.8384724484944,18.3561786859449,-5.52423530042132,10.1836498281404,wave,wave,wave,wave
132,11.8221421022727,24.8344374444728,18.163832298152,-5.35359315514792,9.8219689936467,wave,wave,wave,wave
133,12.0311084589443,24.4920594456506,19.1510056973258,-6.11240391893056,8.87057423328964,wave,wave,wave,wave
134,11.6386769183931,22.5921763160106,18.5443953476258,-5.90311614663645,8.27753021662186,wave,wave,wave,wave
135,12.0502330952671,25.3977453279333,18.7957909810233,-5.74872026458947,10.4758526310551,wave,wave,wave,wave
136,11.2939359108092,23.7923924935471,17.1554559931869,-4.88015288809707,9.91340791065226,wave,wave,wave,wave
137,11.8521507215356,24.3495797314622,18.9521602034038,-6.10498217857234,9.05324280226233,wave,wave,wave,wave
138,11.9487751710979,24.5476095760515,18.8231738121954,-5.878175765461,9.03357153740744,wave,wave,wave,wave
139,11.6986409837092,23.6519969895998,18.3167844231089,-5.61961717795427,9.13606444852186,wave,wave,wave,wave
140,12.1202716904207,25.2741981950401,18.7087913292683,-5.58679128176648,10.2491159029438,wave,wave,wave,wave
141,11.6696747104622,23.8703447447226,18.2272595317317,-5.56366060545389,8.89710009342612,wave,wave,wave,wave
142,11.9306804291998,24.0903251604792,18.7328414514225,-5.79838081926698,9.07898576058995,wave,wave,wave,wave
143,11.6612369543355,24.3641591334607,17.8562795964128,-5.21208931040205,9.78739057870938,wave,wave,wave,wave
144,11.5654436693285,23.9167013701178,17.6858288375286,-5.13230047643604,9.33455631274397,wave,wave,wave,wave
145,11.8819159423407,24.0723517309887,18.767023280308,-5.87906548348887,9.04740602642405,wave,wave,wave,wave
146,11.7976241018419,23.0402371171553,18.9187692696568,-6.11707647095309,8.26071501667247,wave,wave,wave,wave
147,12.1711685744834,25.6122865521457,18.7489039829784,-5.58017063841362,10.6759007144239,wave,wave,wave,wave
148,11.4555863755382,22.6719001362666,17.8976972214843,-5.44788768894356,8.57119037451068,wave,wave,wave,wave
149,11.9009482200958,24.6989362596678,18.7542685746488,-5.86034311207389,9.40171704320487,wave,wave,wave,wave
150,11.7933002195834,23.3197498638351,19.0781045528536,-6.29466142847301,8.15901885361343,wave,wave,wave,wave
151,12.0111953095594,25.1558412895711,18.3887867018446,-5.37786760716414,10.8699201351322,wave,wave,wave,wave
152,11.8452185582105,24.2308311107304,18.451563626634,-5.60312852423279,9.48379781145278,wave,wave,wave,wave
153,11.5458990108306,23.4658899901131,18.1804933458234,-5.64654371352407,8.87209882489603,wave,wave,wave,wave
154,12.0043396563454,24.1862139103518,18.964348137871,-5.95542233874827,8.81554792020345,wave,wave,wave,wave
155,11.8539323358301,25.0693669361571,18.0476230770443,-5.20535750635868,10.7002605893103,wave,wave,wave,wave
156,11.9904186796608,25.2102264549923,18.0317778695788,-5.04588304660017,11.2698892596962,wave,wave,wave,wave
157,11.8162970864519,24.2082330162177,18.9374153051475,-6.13384010345348,9.09043309451111,wave,wave,wave,wave
158,11.1544182256637,20.7270387621552,17.3943281735917,-5.25746806432567,7.55050912344508,wave,wave,wave,wave
159,11.8327620211319,24.0645433450832,18.6446103937393,-5.80968464465063,9.24769597453888,wave,wave,wave,wave
160,11.3871730715715,22.8479207679756,17.6459530084657,-5.27836860790921,8.5599883627877,wave,wave,wave,wave
161,11.8515987215855,24.515483443928,18.2580747393238,-5.40762237154898,9.74537778088732,wave,wave,wave,wave
162,12.0478587157936,24.9015477298131,18.1248653171939,-5.07279974055714,11.2970744076364,wave,wave,wave,wave
163,11.7083724945095,23.4351996086071,18.4374563573531,-5.73432951577407,8.73121549671796,wave,wave,wave,wave
164,11.9888705175784,24.6181267593697,19.0541827057479,-6.06394566142724,9.11974485906892,wave,wave,wave,wave
165,11.792001411963,24.8564231812756,17.869970015701,-5.09135776895503,10.2212629294191,wave,wave,wave,wave
166,11.9421113900411,24.5171977596945,19.3529210968326,-6.40921781263634,8.96862469975426,wave,wave,wave,wave
167,11.5082115827216,22.763566677533,18.2681512764795,-5.76559924215105,8.35696528214243,wave,wave,wave,wave
168,11.694962472218,23.1493403402044,19.1887942501846,-6.49797632483261,8.0856843421819,wave,wave,wave,wave
169,11.909234409552,24.7204246746481,18.5237932154803,-5.61722413253069,9.65868906504874,wave,wave,wave,wave
170,11.5250805623282,23.5383792765672,17.9213613296905,-5.40669987318996,9.17894756713585,wave,wave,wave,wave
171,11.9180053332335,25.1532781618742,18.2460378845676,-5.34122365686636,9.93067091940273,wave,wave,wave,wave
172,11.6949270191847,23.8833915873298,18.0982182792692,-5.405124623525,9.12976550122745,wave,wave,wave,wave
173,12.1882980116104,25.4400164910117,18.8929672354968,-5.70147973799661,10.2113954878845,wave,wave,wave,wave
174,11.5865533654387,24.5111238337964,17.513020130882,-4.94715797248963,10.1239333006629,wave,wave,wave,wave
175,11.7255009225876,23.2132278319466,18.99249438006,-6.26501662642541,7.99787564053596,wave,wave,wave,wave
176,11.887126089605,24.3060698917948,18.7055876425959,-5.81635766094382,9.28994693539616,wave,wave,wave,wave
177,11.4803261028705,23.9461220026106,17.3116264165756,-4.84769543904725,9.52806912696333,wave,wave,wave,wave
178,11.9594298358976,24.1009799944144,18.7505754437137,-5.78063263494278,9.18730684694202,wave,wave,wave,wave
179,11.7101195127877,23.270327364191,18.7698981409965,-6.06745190738684,8.25704898269206,wave,wave,wave,wave
180,11.9084666306025,25.2168186831223,18.4780050388562,-5.57757315268169,10.1398511065161,wave,wave,wave,wave
181,11.5857477020422,23.5857263489161,17.8148124072114,-5.23290363768802,9.32351443085805,wave,wave,wave,wave
