Point,"hb_comp_curve","hb_ocp1dbm_value","hb_peakPAE_value","hb_gainAt-20dbm_value","hb_PinAtOcp1dbm_value","hb_PAEAtOcp1dbm","hb_outputPowerW_curve","hb_outputPowerDBM_curve","hb_PAE_curve"
198,wave,10.3141184132571,20.6960443687303,18.6942133782194,-7.35242826355211,9.39317909244797,wave,wave,wave
199,wave,10.5829962212605,21.6629316907912,18.9837599251139,-7.35499173276332,9.69178670017584,wave,wave,wave
200,wave,10.35131388451,20.9251087942058,18.503044558072,-7.12312704399694,10.3270917199973,wave,wave,wave
201,wave,10.7577778599116,21.0156453332196,18.637820284395,-6.87810367325712,11.300111698838,wave,wave,wave
202,wave,10.3637758042357,21.4638766739132,19.1365616581402,-7.73395785149936,9.1228205787623,wave,wave,wave
203,wave,10.2683488834203,20.5674408643556,18.3853333165664,-7.09151537523794,9.96658128956835,wave,wave,wave
204,wave,10.1832481081069,20.3175976172461,17.8948089228303,-6.68257916294855,9.94907330488349,wave,wave,wave
205,wave,10.1380201794354,20.6303226926039,19.5923009515135,-8.41298483965156,7.94625991768816,wave,wave,wave
206,wave,10.3727979483015,21.469453872355,18.7769931413414,-7.36781418385661,9.63911405049002,wave,wave,wave
207,wave,10.4489161838135,21.1709374534493,18.8704900865117,-7.38305334149379,9.8390029375134,wave,wave,wave
208,wave,10.4842240232728,21.0818919272418,18.9689209091517,-7.46202568358028,9.91246214623337,wave,wave,wave
209,wave,10.2896086891761,21.4003462770756,19.132871707198,-7.80587262935762,8.9454143833692,wave,wave,wave
210,wave,10.2219273010342,20.6144864900979,18.9121284174621,-7.65893750515169,9.1868842291374,wave,wave,wave
211,wave,10.4622953269155,20.9558246192396,18.4803439097807,-7.01119657685864,11.332946217578,wave,wave,wave
212,wave,10.3746478808244,20.9631472081687,18.6031420399879,-7.20585050808485,10.5630739507933,wave,wave,wave
213,wave,10.6056313006113,21.1112962661432,17.8885740551259,-6.24617393437413,9.77344001838928,wave,wave,wave
214,wave,10.4390670398273,21.0502371075908,18.9834385172552,-7.52419470151549,9.99296878317158,wave,wave,wave
215,wave,10.3918246968788,21.1090524118951,18.6593081224517,-7.23242982532871,9.85045109789578,wave,wave,wave
216,wave,10.378992307313,21.3457967148273,18.7342040946356,-7.32241870411932,10.4081005994524,wave,wave,wave
217,wave,10.339716464453,20.6477641261529,18.2151920726242,-6.84618036805061,10.7110503393133,wave,wave,wave
218,wave,10.3340310172036,21.2694367385207,19.0805360576573,-7.71567239975356,9.33472135442042,wave,wave,wave
219,wave,10.5823191125178,21.3523370163605,19.3830430856483,-7.76861787591597,9.80266305449178,wave,wave,wave
220,wave,10.3361111047818,20.9449136819404,18.3757613610335,-7.00621273960547,10.0959528749322,wave,wave,wave
221,wave,10.3699502634456,20.5535371874495,18.3043687729413,-6.91493225886781,10.5324031600375,wave,wave,wave
222,wave,10.3131100427348,21.3937830577951,19.7998285707303,-8.44935678999028,8.3700260089996,wave,wave,wave
223,wave,10.3493722771593,20.5578459055235,18.6104092666392,-7.23932983073553,10.1792356112521,wave,wave,wave
224,wave,10.249426280522,21.1411446356772,19.4866046296574,-8.20129593934701,8.40465604551542,wave,wave,wave
225,wave,10.2748875355472,20.2014377097449,18.1126285968693,-6.81831132153326,10.533013942414,wave,wave,wave
226,wave,10.4393579462286,21.4603708754524,18.8909717640295,-7.41059040039869,9.75221275815814,wave,wave,wave
227,wave,10.4516521434045,21.0810696372343,18.9383041793743,-7.46454086896588,10.0588620499112,wave,wave,wave
228,wave,10.3114350597867,21.0265381205421,18.6669280495829,-7.32620732287354,9.85599032566283,wave,wave,wave
229,wave,10.4360974484511,20.9322240545051,18.7018859689615,-7.24466672975026,10.6774551826186,wave,wave,wave
230,wave,10.5573905532362,21.5322715674824,18.8606613051225,-7.27247171290037,10.8024256113096,wave,wave,wave
231,wave,10.2671336515169,20.7280280853969,19.1919410230296,-7.88397202733798,8.36420784265108,wave,wave,wave
232,wave,10.4398365591237,21.3030610672047,19.4395823520879,-7.96999065415301,9.35603178319678,wave,wave,wave
233,wave,10.4205478385074,21.3937267783023,19.0779958423357,-7.61891736889777,9.32915363680734,wave,wave,wave
234,wave,10.2703960963732,20.4787333392804,18.1329747234337,-6.84154233079181,10.6143469796376,wave,wave,wave
235,wave,10.4446866952803,20.1988672995954,18.7060366724921,-7.24626970650405,9.85074704804886,wave,wave,wave
236,wave,10.3206794108971,20.7133880456137,18.8986618168089,-7.54120704612279,9.36352566366482,wave,wave,wave
237,wave,10.3315086049008,20.4690588776119,17.9815065470005,-6.63042874828966,11.3312062551304,wave,wave,wave
238,wave,10.373884190229,20.9319060081213,18.6415119690093,-7.2384697331281,10.2074689045295,wave,wave,wave
239,wave,10.3994579863024,21.1575958507459,18.9468588964162,-7.50071578161993,8.23141183290126,wave,wave,wave
240,wave,10.3537316277493,21.2052520090512,18.6545755014304,-7.27020047857907,10.0976826459449,wave,wave,wave
241,wave,10.5031012256446,21.4929576879752,19.1308087698081,-7.60242996424989,10.6355725108521,wave,wave,wave
242,wave,10.4114408593714,21.0736449642078,18.6252419288517,-7.1847966996135,10.3542301542878,wave,wave,wave
243,wave,10.1040102550164,20.5194416477032,19.4088545184432,-8.2633430140903,8.06603429398621,wave,wave,wave
244,wave,10.3933270588456,20.9481251407913,18.3181188205476,-6.89854443667768,11.3857891092715,wave,wave,wave
245,wave,10.306388724503,20.6180496154919,18.3981719874125,-7.07897529434559,10.6085001863014,wave,wave,wave
246,wave,10.3140548366343,20.6093133419501,18.2423926793208,-6.89227118786078,9.82945830566573,wave,wave,wave
247,wave,10.4923490563132,20.6146734200765,18.9313764802592,-7.42419503970413,9.8316244167236,wave,wave,wave
248,wave,10.292672799778,20.8129204563817,18.7858877300807,-7.45558325186341,9.2963813082424,wave,wave,wave
249,wave,10.3337198095536,20.9921734007917,18.4230064657377,-7.06331273388979,11.0480296945581,wave,wave,wave
250,wave,10.6981893861402,21.1598682024085,19.0094900016339,-7.29912239094797,10.6404769951333,wave,wave,wave
251,wave,10.2554759879174,20.9349231322912,19.2425443663856,-7.94391845783911,8.26894582877367,wave,wave,wave
252,wave,10.3879174976949,20.9199983087547,18.7750649554234,-7.35521760423439,9.59964093801836,wave,wave,wave
253,wave,10.489431437905,21.4216196529236,18.5704549312302,-7.04226507281885,9.647520909533,wave,wave,wave
254,wave,10.4212140571177,20.8712071133666,18.5639142096317,-7.12791806529265,10.9010161564287,wave,wave,wave
255,wave,10.2320578312578,20.6718086491137,18.3206512169782,-7.05302686109316,9.26180263787394,wave,wave,wave
256,wave,10.2707932062984,19.6898237202481,18.0719450139943,-6.7887736996818,9.94700516072951,wave,wave,wave
257,wave,10.4694401154677,21.2349606324496,18.8038318257984,-7.30511254842788,10.4973967576355,wave,wave,wave
258,wave,10.4355048301624,21.4064511539912,19.0186170247977,-7.56321038821694,10.4298574034162,wave,wave,wave
259,wave,10.3225211623165,20.5789933121262,18.3435219776591,-6.99239660180315,10.2755903042134,wave,wave,wave
260,wave,10.5105028534364,21.5787055695696,18.9663354814671,-7.41787758153689,9.85972170992467,wave,wave,wave
261,wave,10.2485649517412,20.781940631518,18.5545774328147,-7.26991237725392,9.75232703624366,wave,wave,wave
262,wave,10.290272992328,21.2107107789008,19.1517495632466,-7.82053706742342,8.87991782237069,wave,wave,wave
263,wave,10.9124267435404,20.9512632470278,18.3316259599147,-6.41784886235839,11.8064225804849,wave,wave,wave
264,wave,10.3316150030304,21.3735204140225,19.3378811245001,-7.97452813319405,9.48491230835352,wave,wave,wave
265,wave,10.4516277974893,21.5439751046852,19.1544434642189,-7.6747189886492,9.88826852569277,wave,wave,wave
266,wave,10.3585512366431,20.6034899941458,19.2099912690869,-7.82686040560311,9.05207691144033,wave,wave,wave
267,wave,10.2731637814237,20.7429952952638,18.3274017514013,-7.02364307831179,10.2880367258295,wave,wave,wave
268,wave,10.5172490600085,21.498640671254,19.2528972511245,-7.69924516724731,9.82631713605062,wave,wave,wave
269,wave,10.4038207603397,20.9859484708253,18.3002005389572,-6.86137535254264,9.96634461804011,wave,wave,wave
270,wave,10.1145506638857,20.2955530303015,18.4472186870163,-7.30298433103664,9.20799928553624,wave,wave,wave
271,wave,10.4294696887954,21.4271043666332,18.9834475439305,-7.51629504611855,9.87474374704894,wave,wave,wave
272,wave,10.580865079641,21.7085463152648,19.302240060573,-7.6922074367707,10.2979684668945,wave,wave,wave
273,wave,10.3334738074771,20.4495892495456,18.5769619511415,-7.21951884493314,9.77182501744683,wave,wave,wave
274,wave,10.2754439085828,21.3438629052127,19.2277357288978,-7.9128719280765,8.56078858101082,wave,wave,wave
275,wave,10.4236750642129,21.0652415418877,18.7437614692988,-7.29790114740029,10.6514097206982,wave,wave,wave
276,wave,10.2914460821203,20.9574616140182,18.5062250561519,-7.18404636294495,10.1594921061033,wave,wave,wave
277,wave,10.2281972169077,20.6662276437618,19.6344515474718,-8.36837299145247,8.04403105043328,wave,wave,wave
278,wave,10.3909797202632,21.6566917265086,19.0323926388395,-7.60945630333653,10.1419196645109,wave,wave,wave
279,wave,10.2843389629321,20.6678953323104,18.3233930611571,-7.00325602202735,9.88055942549213,wave,wave,wave
280,wave,10.451524318194,20.9361774356444,19.0743761791581,-7.58485723124816,9.46785637161266,wave,wave,wave
281,wave,10.2821972942215,20.8129782853338,18.3641288620803,-7.04465672982659,9.82260948448952,wave,wave,wave
282,wave,10.3263711582936,20.9039972745191,18.6750501285789,-7.3146492167867,9.79918156179644,wave,wave,wave
283,wave,10.548428394771,21.6044514398497,19.0178152559507,-7.43618498356382,10.0282380637923,wave,wave,wave
